Date,AAPL,PG,S&P500
2014-05-09,18.372737884521484,59.65976333618164,1878.47998046875
2014-05-12,18.601476669311523,59.18184280395508,1896.6500244140625
2014-05-13,18.630661010742188,59.094940185546875,1897.449951171875
2014-05-14,18.634111404418945,58.77634811401367,1888.530029296875
2014-05-15,18.475662231445312,58.31291198730469,1870.8499755859375
2014-05-16,18.74833106994629,58.16810989379883,1877.8599853515625
2014-05-19,18.970481872558594,57.87843704223633,1885.0799560546875
2014-05-20,18.974252700805664,58.09568786621094,1872.8299560546875
2014-05-21,19.02445411682129,58.283958435058594,1888.030029296875
2014-05-22,19.0545711517334,58.399810791015625,1892.489990234375
2014-05-23,19.26981544494629,58.30567169189453,1900.530029296875
2014-05-27,19.63066291809082,57.987060546875,1911.9100341796875
2014-05-28,19.5798282623291,58.001548767089844,1909.780029296875
2014-05-29,19.93659210205078,58.21879959106445,1920.030029296875
2014-05-30,19.86191177368164,58.501182556152344,1923.5699462890625
2014-06-02,19.725425720214844,58.18979263305664,1924.969970703125
2014-06-03,20.004369735717773,57.87843704223633,1924.239990234375
2014-06-04,20.232791900634766,57.82774353027344,1927.8800048828125
2014-06-05,20.312175750732422,58.0087776184082,1940.4599609375
2014-06-06,20.25632667541504,57.95085525512695,1949.43994140625
2014-06-09,20.580453872680664,57.99429702758789,1951.27001953125
2014-06-10,20.70125961303711,58.03774642944336,1950.7900390625
2014-06-11,20.615596771240234,57.97257995605469,1943.8900146484375
2014-06-12,20.270763397216797,57.75537109375,1930.1099853515625
2014-06-13,20.048919677734375,57.6684684753418,1936.1600341796875
2014-06-16,20.251005172729492,57.70465850830078,1937.780029296875
2014-06-17,20.224641799926758,57.625022888183594,1941.989990234375
2014-06-18,20.246599197387695,57.777069091796875,1956.97998046875
2014-06-19,20.17631721496582,58.10293197631836,1959.47998046875
2014-06-20,19.96765899658203,57.87843704223633,1962.8699951171875
2014-06-23,19.950082778930664,57.58155059814453,1962.6099853515625
2014-06-24,19.82927703857422,57.2122688293457,1949.97998046875
2014-06-25,19.846847534179688,57.43674850463867,1959.530029296875
2014-06-26,19.965463638305664,56.92987060546875,1957.219970703125
2014-06-27,20.202672958374023,57.21949768066406,1960.9599609375
2014-06-30,20.411331176757812,56.90813446044922,1960.22998046875
2014-07-01,20.540924072265625,57.407772064208984,1973.3199462890625
2014-07-02,20.532135009765625,57.610504150390625,1974.6199951171875
2014-07-03,20.652935028076172,57.914649963378906,1985.43994140625
2014-07-07,21.07904052734375,58.066707611083984,1977.6500244140625
2014-07-08,20.9428653717041,58.33460998535156,1963.7099609375
2014-07-09,20.951650619506836,59.138397216796875,1972.8299560546875
2014-07-10,20.874780654907227,59.094940185546875,1964.6800537109375
2014-07-11,20.914306640625,58.769126892089844,1967.5699462890625
2014-07-14,21.184471130371094,58.88496398925781,1977.0999755859375
2014-07-15,20.936277389526367,58.84151840209961,1973.280029296875
2014-07-16,20.81767463684082,59.07801055908203,1981.5699462890625
2014-07-17,20.446474075317383,58.68385314941406,1958.1199951171875
2014-07-18,20.740787506103516,58.79336166381836,1978.219970703125
2014-07-21,20.6331729888916,58.59627151489258,1973.6300048828125
2014-07-22,20.80449104309082,58.464874267578125,1983.530029296875
2014-07-23,21.34700584411621,58.38460159301758,1987.010009765625
2014-07-24,21.311864852905273,58.58168411254883,1987.97998046875
2014-07-25,21.452430725097656,58.07072067260742,1978.3399658203125
2014-07-28,21.74894905090332,57.85175704956055,1978.9100341796875
2014-07-29,21.608383178710938,57.406532287597656,1969.949951171875
2014-07-30,21.557859420776367,57.04887771606445,1970.0699462890625
2014-07-31,20.997774124145508,56.435794830322266,1930.6700439453125
2014-08-01,21.11418914794922,58.13644027709961,1925.1500244140625
2014-08-04,20.995580673217773,57.82258224487305,1938.989990234375
2014-08-05,20.892349243164062,57.96125793457031,1920.2099609375
2014-08-06,20.857206344604492,59.1874885559082,1920.239990234375
2014-08-07,20.854995727539062,58.494083404541016,1909.5699462890625
2014-08-08,20.91238784790039,59.08529281616211,1931.5899658203125
2014-08-11,21.188310623168945,59.4721565246582,1936.9200439453125
2014-08-12,21.18389129638672,59.4283447265625,1933.75
2014-08-13,21.464221954345703,59.4721565246582,1946.719970703125
2014-08-14,21.52161407470703,59.8151969909668,1955.1800537109375
2014-08-15,21.62757110595703,59.69111251831055,1955.06005859375
2014-08-18,21.888032913208008,60.17286682128906,1971.739990234375
2014-08-19,22.190444946289062,60.3553352355957,1981.5999755859375
2014-08-20,22.19927406311035,60.44292449951172,1986.510009765625
2014-08-21,22.20147705078125,60.78598403930664,1992.3699951171875
2014-08-22,22.364830017089844,60.86625671386719,1988.4000244140625
2014-08-25,22.41338348388672,60.97574234008789,1997.9200439453125
2014-08-26,22.269906997680664,60.85894775390625,2000.02001953125
2014-08-27,22.543621063232422,60.807857513427734,2000.1199951171875
2014-08-28,22.570110321044922,60.6035041809082,1996.739990234375
2014-08-29,22.625288009643555,60.661888122558594,2003.3699951171875
2014-09-02,22.8018741607666,60.5670051574707,2002.280029296875
2014-09-03,21.8394718170166,60.50860595703125,2000.719970703125
2014-09-04,21.65847396850586,61.092533111572266,1997.6500244140625
2014-09-05,21.84609603881836,61.143611907958984,2007.7099609375
2014-09-08,21.711448669433594,60.8151741027832,2001.5400390625
2014-09-09,21.629772186279297,60.574302673339844,1988.43994140625
2014-09-10,22.294185638427734,61.04875183105469,1995.68994140625
2014-09-11,22.389102935791016,60.939239501953125,1997.449951171875
2014-09-12,22.43987464904785,60.771385192871094,1985.5400390625
2014-09-15,22.43324851989746,61.21662521362305,1984.1300048828125
